,Country,ISO3,region_remastered,region_bigger,Number_of_parks,GIS_AREA,Land_area,Number_of_posts,post_density_national_total,post_density_national_land,post_density_total_max,post_density_total_min,post_density_total_mean,post_density_total_median,post_density_total_var
20,Curaçao,CUW,Latin America and the Caribbean,Latin America and the Caribbean,4,8.338841051733116,8.147,131,15.709617102339829,16.07953848042224,16.517845550993986,0.6259358405320787,7.595960152141987,5.644099064899895,65.99551983928578
21,Czechia,CZE,Europe,Europe,4,1189.624934677368,1189.625,7190,6.043921735677105,6.0439214038037194,2.4404986344547117,0.0018463333769639333,0.3142092428238189,0.035959388465531955,0.3703705213434723
22,Côte d'Ivoire,CIV,Sub-Saharan Africa,Africa,2,41.90274618299863,41.903000000000006,7,0.16705349022781085,0.1670524783428394,1.1880993399120805,0.011098429889136039,0.4397100852404762,0.11993248592021208,0.42302607031898337
23,Dominica,DMA,Latin America and the Caribbean,Latin America and the Caribbean,3,107.89942639820684,105.639,517,4.791499058502798,4.894025880593341,4.085948855896803,0.0028990966128759374,1.0464073782894574,0.1399277256478702,2.1642412830752726
24,Dominican Republic,DOM,Latin America and the Caribbean,Latin America and the Caribbean,21,9542.829113173102,8016.73,1423,0.14911720446043236,0.17750379518831244,8.523260270582648,0.0007017150337313577,2.8634951390922865,0.0665234316604792,24.02578913232051
25,Ecuador,ECU,Latin America and the Caribbean,Latin America and the Caribbean,11,34324.827847691864,34055.839,27448,0.7996544111391869,0.8059704534074171,0.006375160404822242,0.006375160404822242,0.006375160404822242,0.006375160404822242,
26,Egypt,EGY,Northern Africa,Africa,3,60416.211960844455,57800.899,7216,0.11943814029050126,0.12484234890533451,4.4309264122605105,0.377689009932835,1.5126599290222997,0.6489777369531775,2.9032928662686266
27,El Salvador,SLV,Latin America and the Caribbean,Latin America and the Caribbean,3,33.65590061120943,33.656,74,2.19872291800605,2.1987164250059426,2.062930821736438,0.0007776478348107747,0.3030795777425769,0.04649608732474821,0.4551265964483687
28,Equatorial Guinea,GNQ,Sub-Saharan Africa,Africa,1,1952.38829548687,1952.388,3,0.0015365795866195179,0.001536579819175287,40.32593000836484,0.010189811819147309,2.989883988854434,0.9998042200828325,45.00895174942425
29,Estonia,EST,Europe,Europe,5,1991.037370226491,1305.743,4325,2.172234466652933,3.3122903971148996,21.319166187179388,21.319166187179388,21.319166187179388,21.319166187179388,
30,Eswatini,SWZ,Sub-Saharan Africa,Africa,1,218.208567646798,218.209,405,1.8560224484656846,1.8560187709947802,0.03213786290359558,0.00033451115729682363,0.010894593276880067,0.00555299952331393,0.00020671158894729032
31,Ethiopia,ETH,Sub-Saharan Africa,Africa,9,14808.717047185692,14808.717,1493,0.10081899703011314,0.10081899735135731,48.24853862566948,0.994054431135555,8.278152406822617,3.170795863377216,146.079987785822
32,Fiji,FJI,Oceania,Oceania,1,1.78243368743248,1.495,38,21.319166187179388,25.418060200668894,0.9041371065228078,0.01128189335636143,0.21367198896369502,0.09180795416272006,0.08231333211746392
33,Finland,FIN,Europe,Europe,40,9976.003562424037,8397.592,6961,0.6977744100071842,0.8289281022464534,0.14192281804065854,0.0039434067869738255,0.06478990388691655,0.056646695360016916,0.0034556099676439655
34,Gabon,GAB,Sub-Saharan Africa,Africa,4,10451.997530808007,10233.213,175,0.016743210997149115,0.017101178290728436,0.9573434960203635,0.017483979906726867,0.6035119123225231,0.8357082610404791,0.2612703357758028
35,Gambia,GMB,Sub-Saharan Africa,Africa,3,173.057336102533,171.532,57,0.3293706079367167,0.33229951262738144,0.0231056464127836,0.005491026973757549,0.016356713021249778,0.01841508934922898,5.9993279399557655e-05
36,Georgia,GEO,Western Asia,Asia,9,3994.056347533074,3841.094,1034,0.25888468014194377,0.2691941410441921,0.0015365795866195179,0.0015365795866195179,0.0015365795866195179,0.0015365795866195179,
37,Germany,DEU,Europe,Europe,16,10456.935058008034,2191.8219999999997,28869,2.760751581591951,13.17123379544507,4.713767521475648,0.08542989999704204,1.1997032347150438,0.7620361888212157,1.2753758216995041
38,Ghana,GHA,Sub-Saharan Africa,Africa,4,8003.424998087775,8003.424,253,0.03161146634852557,0.03161147029071557,14.45129129804087,2.496346454835371,8.47381887643812,8.47381887643812,71.46035310204287
39,Greece,GRC,Europe,Europe,15,7245.594505171819,6840.039,6849,0.94526404908683,1.0013100802495425,0.000716459590316948,0.000716459590316948,0.000716459590316948,0.000716459590316948,
40,Greenland,GRL,Greenland,Greenland,1,961673.21829721,865940.545,689,0.000716459590316948,0.0007956666355194166,100.11973063871294,0.008594356348285162,13.305798485992774,2.497689894598479,831.1493682102711
41,Grenada,GRD,Latin America and the Caribbean,Latin America and the Caribbean,2,24.57922770297335,24.58,269,10.944200657999481,10.94385679414158,12.729789601851927,0.0014341432991764778,1.3310439437032462,0.26433717901878073,12.925727879988079
