,region_bigger,Number_of_parks,GIS_AREA,Land_area,Number_of_posts,post_density_continent_total,post_density_continent_land,post_density_national_total_max,post_density_national__total_min,post_density_national_total_mean,post_density_national_total_median,post_density_national_total_var
0,Africa,230,627083.3766366498,606017.4529999996,180767,0.28826629238609464,0.29828678877999265,25.74412900548664,0.0009039791254608125,1.2816063404126103,0.11012856866030721,19.049848223292148
1,Asia,413,325333.0725843629,311648.59699999983,326327,1.0030551072097946,1.047099210910294,147.84472401712563,0.015093695119250877,7.887470288681752,0.263914387115949,946.0992494245457
2,Australia and New Zealand,517,308184.80736874277,306386.31799999997,201723,0.6545520583000013,0.6583942824757599,1.732507909221959,0.5424471106698965,1.1374775099459278,1.1374775099459278,0.7081223521251865
3,Europe,338,198868.15069725376,184170.59599999996,410160,2.062472037688959,2.2270656060644995,152.66366166100275,0.1698533800885862,14.539368168318966,2.760751581591951,1548.8873854094234
4,Greenland,1,961673.21829721,865940.545,689,0.000716459590316948,0.0007956666355194166,0.000716459590316948,0.000716459590316948,0.000716459590316948,0.000716459590316948,
5,Latin America and the Caribbean,355,607903.6455151333,427192.6489999999,179121,0.2946536039411544,0.41929794536328746,171.27394973678304,0.04108717363668978,14.928697879227652,0.7104996456106292,1672.4914125323
6,Northern America,105,426093.87437066314,414353.3559999998,1044805,2.452053556374561,2.5215314051903093,7.669351126286216,0.3353714532395388,4.002361289762877,4.002361289762877,26.893628922330922
7,Oceania,13,11024.464713482743,3469.0930000000003,4025,0.365097091297094,1.160245631927423,21.319166187179388,0.3505013273068417,5.17430619265107,0.9193309195266326,82.32860706924608
